DEPT_ID,2011,2012,2013,2014,2015,Name,dttm
AL-01,52604,49021,50164,52676,54349,Berat,10/14/2023
AL-02,124785,127057,129322,129149,138616,Durres,10/14/2023
AL-03,97784,95845,101598,103357,101502,Elbasan,10/14/2023
AL-04,152294,170861,179542,188760,168641,Fier,10/14/2023
AL-05,33557,36145,35219,36269,34569,Gjirokaster,10/14/2023
AL-06,76129,77799,79130,80261,81504,Korce,10/14/2023
AL-07,30033,29202,30806,27176,26092,Kukes,10/14/2023
AL-08,40476,43587,41642,46666,47328,Lezhe,10/14/2023
AL-09,37437,42428,42600,44031,47170,Diber,10/14/2023
AL-10,78860,77164,74956,73573,77428,Shkoder,10/14/2023
AL-11,489632,501276,504196,531419,569517,Tirane,10/14/2023
AL-12,87032,82425,80877,81970,81084,Vlore,10/14/2023
