DEPT_ID,STATE_NAME
DZ-01,Adrar
DZ-11,Tamanghasset
DZ-37,Tindouf
DZ-08,Béchar
DZ-36,El Tarf
DZ-39,El Oued
DZ-12,Tébessa
DZ-41,Souk Ahras
DZ-30,Ouargla
DZ-33,Illizi
DZ-45,Naâma
DZ-13,Tlemcen
DZ-23,Annaba
DZ-21,Skikda
DZ-18,Jijel
DZ-06,Béjaïa
DZ-15,Tizi Ouzou
DZ-35,Boumerdès
DZ-16,Alger
DZ-42,Tipaza
DZ-02,Chlef
DZ-27,Mostaganem
DZ-31,Oran
DZ-46,Aïn Témouchent
DZ-19,Sétif
DZ-34,Bordj Bou Arréridj
DZ-10,Bouira
DZ-09,Blida
DZ-38,Tissemsilt
DZ-44,Aïn Defla
DZ-48,Relizane
DZ-32,El Bayadh
DZ-20,Saïda
DZ-22,Sidi Bel Abbès
DZ-29,Mascara
DZ-47,Ghardaïa
DZ-03,Laghouat
DZ-26,Médéa
DZ-14,Tiaret
DZ-28,M'Sila
DZ-05,Batna
DZ-40,Khenchela
DZ-24,Guelma
DZ-25,Constantine
DZ-43,Mila
DZ-04,Oum el Bouaghi
DZ-07,Biskra
DZ-17,Djelfa
