DEPT_ID,STATE_NAME
IE-DL,Donegal
IE-LM,Leitrim
IE-CN,Cavan
IE-MN,Monaghan
IE-LH,Louth
IE-D,Dublin
IE-D,Dún Laoghaire–Rathdown
IE-WW,Wicklow
IE-WX,Wexford
IE-KK,Kilkenny
IE-WD,Waterford
IE-CO,Cork
IE-CO,Cork
IE-KY,Kerry
IE-LK,Limerick
IE-CE,Clare
IE-G,Galway
IE-G,Galway
IE-MO,Mayo
IE-SO,Sligo
IE-MH,Meath
IE-D,Fingal
IE-KE,Kildare
IE-CW,Carlow
IE-LS,Laoighis
IE-D,South Dublin
IE-OY,Offaly
IE-WH,Westmeath
IE-LD,Longford
IE-RN,Roscommon
IE-TA,North Tipperary
IE-TA,South Tipperary
IE-WD,Waterford
IE-LK,Limerick
